,Name,Height,Weight,Position,Foot,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Age,Nation,League,Team
0,Kylian Mbappé,"182cm / 6'0""",75kg / 165lb,ST,Right,97,90,80,92,36,78,26,France,LALIGA EA SPORTS,Real Madrid
1,Rodri,"191cm / 6'3""",82kg / 181lb,CDM,Right,66,80,86,84,87,85,28,Spain,Premier League,Manchester City
2,Aitana Bonmatí,"162cm / 5'4""",53kg / 117lb,CM,Right,81,86,86,91,77,75,27,Spain,Liga F,FC Barcelona
3,Erling Haaland,"195cm / 6'5""",94kg / 207lb,ST,Left,88,92,70,81,45,88,24,Norway,Premier League,Manchester City
4,Jude Bellingham,"186cm / 6'1""",75kg / 165lb,CAM,Right,80,87,83,88,78,83,21,England,LALIGA EA SPORTS,Real Madrid
5,Alexia Putellas,"173cm / 5'8""",69kg / 152lb,CM,Left,82,89,90,91,72,78,31,Spain,Liga F,FC Barcelona
6,Vini Jr.,"176cm / 5'9""",73kg / 161lb,LW,Right,95,84,81,91,29,69,24,Brazil,LALIGA EA SPORTS,Real Madrid
7,Caroline Graham Hansen,"175cm / 5'9""",59kg / 130lb,RW,Right,89,87,88,90,47,76,30,Norway,Liga F,FC Barcelona
8,Kevin De Bruyne,"181cm / 5'11""",75kg / 165lb,CM,Right,67,87,94,87,65,78,33,Belgium,Premier League,Manchester City
9,Sam Kerr,"168cm / 5'6""",66kg / 146lb,ST,Right,85,88,74,90,42,83,31,Australia,Barclays WSL,Chelsea
10,Harry Kane,"188cm / 6'2""",86kg / 190lb,ST,Right,65,93,84,83,49,82,31,England,Bundesliga,FC Bayern München
11,Martin Ødegaard,"178cm / 5'10""",68kg / 150lb,CM,Left,70,82,89,89,67,66,26,Norway,Premier League,Arsenal
12,Gianluigi Donnarumma,"196cm / 6'5""",90kg / 198lb,GK,Right,90,84,73,90,52,87,26,Italy,Ligue 1 McDonald's,Paris SG
13,Sophia Smith,"164cm / 5'5""",58kg / 128lb,ST,Right,93,86,79,89,45,84,24,United States,NWSL,Portland Thorns
14,Alisson,"193cm / 6'4""",91kg / 201lb,GK,Right,86,85,85,89,56,90,32,Brazil,Premier League,Liverpool
15,Thibaut Courtois,"200cm / 6'7""",96kg / 212lb,GK,Left,85,89,76,90,46,88,32,Belgium,LALIGA EA SPORTS,Real Madrid
16,Ada Hegerberg,"176cm / 5'9""",68kg / 150lb,ST,Right,74,89,77,86,39,79,29,Norway,Arkema PL,OL
17,Lautaro Martínez,"174cm / 5'9""",72kg / 159lb,ST,Right,82,88,75,87,54,85,27,Argentina,Serie A Enilive,Lombardia FC
18,Mapi León,"170cm / 5'7""",58kg / 128lb,CB,Left,75,73,83,76,90,82,29,Spain,Liga F,FC Barcelona
19,Virgil van Dijk,"193cm / 6'4""",92kg / 203lb,CB,Right,78,60,71,71,89,86,33,Holland,Premier League,Liverpool
20,Marc-André ter Stegen,"187cm / 6'2""",85kg / 187lb,GK,Right,86,85,89,91,47,86,32,Germany,LALIGA EA SPORTS,FC Barcelona
21,Mohamed Salah,"175cm / 5'9""",72kg / 159lb,RW,Left,89,87,82,88,45,75,32,Egypt,Premier League,Liverpool
22,Phil Foden,"171cm / 5'7""",69kg / 152lb,RW,Left,86,86,85,90,57,63,24,England,Premier League,Manchester City
23,Marie Katoto,"177cm / 5'10""",66kg / 146lb,ST,Right,85,87,77,84,39,74,26,France,Arkema PL,Paris SG
24,Lionel Messi,"169cm / 5'7""",67kg / 148lb,RW,Left,79,85,87,92,33,64,37,Argentina,MLS,Inter Miami CF
25,Debinha,"155cm / 5'1""",52kg / 115lb,CAM,Right,84,81,87,91,46,68,33,Brazil,NWSL,KC Current
26,Kadidiatou Diani,"168cm / 5'6""",64kg / 141lb,RW,Right,90,85,81,88,56,79,29,France,Arkema PL,OL
27,Antoine Griezmann,"176cm / 5'9""",73kg / 161lb,ST,Left,80,88,87,89,59,75,33,France,LALIGA EA SPORTS,Atlético de Madrid
28,Rúben Dias,"187cm / 6'2""",82kg / 181lb,CB,Right,67,39,70,69,89,87,27,Portugal,Premier League,Manchester City
29,Robert Lewandowski,"185cm / 6'1""",81kg / 179lb,ST,Right,75,88,79,86,44,84,36,Poland,LALIGA EA SPORTS,FC Barcelona
30,Patri Guijarro,"171cm / 5'7""",74kg / 163lb,CDM,Right,78,82,83,87,85,77,26,Spain,Liga F,FC Barcelona
31,Federico Valverde,"182cm / 6'0""",78kg / 172lb,CM,Right,88,82,84,84,80,84,26,Uruguay,LALIGA EA SPORTS,Real Madrid
32,Ederson,"188cm / 6'2""",86kg / 190lb,GK,Left,87,82,91,87,64,86,31,Brazil,Premier League,Manchester City
33,Bernardo Silva,"173cm / 5'8""",64kg / 141lb,CM,Left,75,78,86,92,71,69,30,Portugal,Premier League,Manchester City
34,Beth Mead,"163cm / 5'4""",58kg / 128lb,RW,Right,82,84,84,88,67,73,29,England,Barclays WSL,Arsenal
35,Wendie Renard,"187cm / 6'2""",70kg / 154lb,CB,Right,48,66,71,69,91,84,34,France,Arkema PL,OL
36,Guro Reiten,"167cm / 5'6""",60kg / 132lb,LM,Left,88,80,85,86,60,66,30,Norway,Barclays WSL,Chelsea
37,Jan Oblak,"188cm / 6'2""",87kg / 192lb,GK,Right,85,90,78,87,46,86,32,Slovenia,LALIGA EA SPORTS,Atlético de Madrid
38,Irene Paredes,"178cm / 5'10""",67kg / 148lb,CB,Right,71,51,67,68,89,84,33,Spain,Liga F,FC Barcelona
39,Antonio Rüdiger,"190cm / 6'3""",86kg / 190lb,CB,Right,82,55,73,70,86,86,32,Germany,LALIGA EA SPORTS,Real Madrid
40,Christiane Endler,"183cm / 6'0""",73kg / 161lb,GK,Left,87,82,84,90,42,89,33,Chile,Arkema PL,OL
41,Florian Wirtz,"177cm / 5'10""",71kg / 157lb,CAM,Right,81,78,87,89,50,67,21,Germany,Bundesliga,Leverkusen
42,Gregor Kobel,"195cm / 6'5""",88kg / 194lb,GK,Right,87,86,73,89,44,87,27,Switzerland,Bundesliga,Borussia Dortmund
43,William Saliba,"193cm / 6'4""",85kg / 187lb,CB,Right,82,39,70,74,87,83,23,France,Premier League,Arsenal
44,Victor Osimhen,"186cm / 6'1""",77kg / 170lb,ST,Right,89,84,65,81,42,82,26,Nigeria,Trendyol Süper Lig,Galatasaray
45,Jamal Musiala,"184cm / 6'0""",72kg / 159lb,CAM,Right,84,81,78,90,63,64,22,Germany,Bundesliga,FC Bayern München
46,Bukayo Saka,"178cm / 5'10""",65kg / 143lb,RW,Left,85,83,81,88,60,70,23,England,Premier League,Arsenal
47,Alexandra Popp,"174cm / 5'9""",65kg / 143lb,ST,Left,76,87,75,80,52,90,33,Germany,GPFBL,VfL Wolfsburg
48,Paulo Dybala,"177cm / 5'10""",75kg / 165lb,CAM,Left,80,85,84,89,41,65,31,Argentina,Serie A Enilive,AS Roma
49,Theo Hernández,"184cm / 6'0""",81kg / 179lb,LB,Left,95,76,78,84,81,89,27,France,Serie A Enilive,Milano FC
50,Sakina Karchaoui,"160cm / 5'3""",55kg / 121lb,LB,Left,89,66,82,87,80,65,29,France,Arkema PL,Paris SG
51,Neymar Jr,"175cm / 5'9""",68kg / 150lb,LW,Right,85,79,84,92,37,60,33,Brazil,ROSHN Saudi League,Al Hilal
52,Declan Rice,"185cm / 6'1""",80kg / 176lb,CDM,Right,73,72,82,79,84,85,26,England,Premier League,Arsenal
53,Mallory Swanson,"163cm / 5'4""",54kg / 119lb,LM,Right,89,81,80,85,42,71,26,United States,NWSL,Chicago Red Stars
54,Frenkie de Jong,"181cm / 5'11""",74kg / 163lb,CM,Right,82,69,86,87,77,78,27,Holland,LALIGA EA SPORTS,FC Barcelona
55,Mike Maignan,"191cm / 6'3""",89kg / 196lb,GK,Right,84,83,85,88,64,84,29,France,Serie A Enilive,Milano FC
56,Bruno Fernandes,"179cm / 5'10""",69kg / 152lb,CAM,Right,70,85,88,83,65,75,30,Portugal,Premier League,Man Utd
57,Rose Lavelle,"163cm / 5'4""",56kg / 123lb,CAM,Left,86,79,84,87,45,63,29,United States,NWSL,NJ/NY Gotham
58,Heung Min Son,"183cm / 6'0""",78kg / 172lb,ST,Right,87,89,81,85,42,73,32,Korea Republic,Premier League,Spurs
59,Marquinhos,"183cm / 6'0""",75kg / 165lb,CB,Right,79,56,75,74,89,81,30,Brazil,Ligue 1 McDonald's,Paris SG
60,Alessandro Bastoni,"190cm / 6'3""",75kg / 165lb,CB,Left,75,43,75,76,87,83,25,Italy,Serie A Enilive,Lombardia FC
61,İlkay Gündoğan,"180cm / 5'11""",80kg / 176lb,CM,Right,62,83,85,87,74,73,34,Germany,Premier League,Manchester City
62,Ewa Pajor,"167cm / 5'6""",61kg / 134lb,ST,Right,88,88,63,89,21,70,28,Poland,Liga F,FC Barcelona
63,Emiliano Martínez,"195cm / 6'5""",88kg / 194lb,GK,Right,84,82,83,86,56,87,32,Argentina,Premier League,Aston Villa
64,Nicolò Barella,"172cm / 5'8""",68kg / 150lb,CM,Right,81,78,83,86,80,82,28,Italy,Serie A Enilive,Lombardia FC
65,Yann Sommer,"183cm / 6'0""",77kg / 170lb,GK,Right,83,84,85,89,50,86,36,Switzerland,Serie A Enilive,Lombardia FC
66,Cristiano Ronaldo,"187cm / 6'2""",85kg / 187lb,ST,Right,77,88,77,80,34,77,40,Portugal,ROSHN Saudi League,Al Nassr
67,Gabriel,"190cm / 6'3""",87kg / 192lb,CB,Left,69,41,63,61,86,82,27,Brazil,Premier League,Arsenal
68,Granit Xhaka,"186cm / 6'1""",80kg / 176lb,CDM,Left,50,75,85,74,79,82,32,Switzerland,Bundesliga,Leverkusen
69,Khadija Shaw,"180cm / 5'11""",70kg / 154lb,ST,Right,69,86,71,78,32,85,28,Jamaica,Barclays WSL,Manchester City
70,Rodrygo,"174cm / 5'9""",64kg / 141lb,RW,Right,89,81,79,88,31,64,24,Brazil,LALIGA EA SPORTS,Real Madrid
71,João Cancelo,"182cm / 6'0""",74kg / 163lb,LB,Right,81,73,85,85,80,72,30,Portugal,ROSHN Saudi League,Al Hilal
72,Rafael Leão,"188cm / 6'2""",81kg / 179lb,LW,Right,94,79,80,87,28,77,25,Portugal,Serie A Enilive,Milano FC
73,Fridolina Rolfö,"179cm / 5'10""",69kg / 152lb,LB,Left,82,83,82,87,83,84,31,Sweden,Liga F,FC Barcelona
74,Grimaldo,"171cm / 5'7""",68kg / 150lb,LM,Left,74,73,88,85,76,71,29,Spain,Bundesliga,Leverkusen
75,Luka Modrić,"172cm / 5'8""",66kg / 146lb,CM,Right,72,76,88,87,71,64,39,Croatia,LALIGA EA SPORTS,Real Madrid
76,Selma Bacha,"161cm / 5'3""",58kg / 128lb,LB,Left,87,73,85,82,79,79,24,France,Arkema PL,OL
77,Alexis Mac Allister,"176cm / 5'9""",72kg / 159lb,CM,Right,69,82,85,84,76,76,26,Argentina,Premier League,Liverpool
78,Lauren Hemp,"164cm / 5'5""",59kg / 130lb,LW,Left,90,76,84,87,63,70,24,England,Barclays WSL,Manchester City
